On The Road Again|Canned Heat
Don't Let Go|Commander Cody
Mama|Connie Francis
I Will Be There|Glass Tiger
All Of My Love|Bobby Caldwell
Travelin' Band/Who'll Stop The Rain|Creedence Clearwater Revival
Get Your Groove On (From Baps)|Gyrl
It's Only Make Believe|Glen Campbell
Going Going Gone|Brook Benton
Barrel Of A Gun|Depeche Mode
C'mon And Swim|Bobby Freeman
I Will Survive|SaFire
Rumble|Jack Nitzsche
Niagara Falls|Chicago
Bongo Rock|The Incredible Bongo Band
Oh Very Young|Cat Stevens
Call Me|Go West
Better By The Pound|Funkadelic
Memories Of Maria|Jerry Byrd
Scientific Love|Midnight Star
Can't Put A Price On Love|The Knack
Next Time You'll Know|Sister Sledge
Unsquare Dance|The Dave Brubeck Quartet
Gettin' Together|Tommy James And The Shondells
You're The Man (Part 1)|Marvin Gaye
Wishful Thinking|Little Anthony And The Imperials
Long Lonesome Highway|Michael Parks
A Taste Of Honey|The Victor Feldman Quartet
The Mess Around|Bobby Freeman
All Night Long|Sandy Nelson
Corazón|Carole King
One Fine Day|The Chiffons
Promise Me A Rose (A Slight Detail)|Anita Bryant
Get Back|Billy Preston
Misty Blue|Eddy Arnold
Judy Loves Me|Johnny Crawford
On And On And On|ABBA
Ha Cha Cha (funktion)|Brass Construction
Blue Jean|David Bowie
No One But You (In My Heart)|The Ames Brothers
My World Fell Down|Sagittarius
Love Struck|Jesse Johnson
Spinout|Elvis Presley With The Jordanaires
Tearin' Up My Heart|'N Sync
Gonna Get Along Without Ya' Now|Trini Lopez
Today's The Day|America
Who Was It?|Hurricane Smith
Mind Excursion|The Trade Winds
Love Me|The Rascals
More Than The Eye Can See|Al Martino
Sad Hearts|Four Tops
The Waltz You Saved For Me|Ferlin Husky
Come In Stranger|Johnny Cash And The Tennessee Two
Can't Shake Loose|Agnetha Faltskog
Keep It In The Family|Leon Haywood
Pickle Up A Doodle|Teresa Brewer
Pop Singer|John Mellencamp
Words|Pat Boone
I Love You Drops|Vic Dana
The Dreamer|Neil Sedaka
Power Of Love|Joe Simon
Square Rooms|Al Corley
With Every Beat Of My Heart|Taylor Dayne
Music Makes Me High|Lost Boyz
Wendy  Wendy|The Four Coins
The Ways To Love A Man|Tammy Wynette
I Wanna Be Free|Loretta Lynn
To Wait For Love|Herb Alpert
Can You Stop The Rain|Peabo Bryson
Breakin' Away|Al Jarreau
Ev'rybody's Cryin'|Jimmie Beaumont
Johnny B. Goode|Peter Tosh
The Joker Went Wild|Brian Hyland
Hideaway|John Sebastian
Are We Ourselves?|The Fixx
Crazy|Kenny Rogers
Steal Away|Johnnie Taylor
Rock Me In The Cradle Of Love|Dee Dee Sharp
Surrender|Diana Ross
Am I The Same Girl|Swing Out Sister
Mistaken Identity|Kim Carnes
My Fallen Angel|Coro
July You're A Woman|Pat Boone
Toby/that's How Long|The Chi-lites
I Have Nothing|Whitney Houston
Little Walter|Tony Toni Tone
Put Your Mouth On Me|Eddie Murphy
Going Back To Louisiana|Bruce Channel
You Are Not Alone|Michael Jackson
(He's) Raining In My Sunshine|Jay & The Americans
Mighty Good Lovin'|The Miracles
Say You Really Want Me|Kim Wilde
I Guess The Lord Must Be In New York City|Nilsson
Deeper Than The Night|Olivia Newton-John
Whatcha See Is Whatcha Get|The Dramatics
Flame|Steve Sperry
Forever Man|Eric Clapton
Fireflies|Fleetwood Mac
Anything I Want|Kevin Paige
What Would You Do?|Jim Reeves
Cry Baby|Janis Joplin
A Heart In New York|Art Garfunkel
This Little Bird|Marianne Faithfull
I'm Not Satisfied|Fine Young Cannibals
The Funky Gibbon|The Goodies
Rhythm Of Love|Yes
Baby I've Been Missing You|The Independents
Hum A Song (From Your Heart)|Lulu with The Dixie Flyers
Ol' Mac Donald|Frank Sinatra
Peek-A-Boo|The New Vaudeville Band
What Kind Of Fool Do You Think I Am|Bill Deal & The Rhondels
Three Stars|Ruby Wright
I Wanna Dance Wit' Choo (Doo Dat Dance)  Part I|Disco Tex & The Sex-O-Lettes
You Better Dance|The Jets
If It's All Right With You|Dottie West
Lost Someone|James Brown And The Famous Flames
Yield Not To Temptation|Bobby Bland
Look In My Eyes|The Chantels
Slow Dancin'|Peabo Bryson
Sweet Maxine|The Doobie Brothers
Zip Code|The Five Americans
Thinking Of You|Earth  Wind & Fire
Ride My See-Saw|The Moody Blues
Banned In The U.S.A.|Luke Featuring The 2 Live Crew
For Your Precious Love|Jerry Butler and The Impressions
Walk On Water|Neil Diamond
Midnight Blue|Louise Tucker
Change Partners|Stephen Stills
Just The Way You Like It|The S.O.S. Band
Satellite|Hooters
Heaven In Your Arms|Dan Hartman
People World|Jim & Jean
Just Be Good To Me|The S.O.S. Band
Tubthumping|Chucklebutt
Is It Something You've Got|Tyrone Davis
Love Me Two Times|The Doors
You Don't Know Me|Elvis Presley With The Jordanaires
I Still Haven't Found What I'm Looking For|U2
Precious To Me|Phil Seymour
For A Dancer|Prelude
Little Bitty Pretty One|Frankie Lymon
Where|The Platters
One Track Mind|Bobby Lewis
Theme From Taras Bulba (The Wishing Star)|Jerry Butler
Graduation Day|Bobby Pickett
Bonanza!|Johnny Cash
Raspberry Beret|Prince And The Revolution
Southern Gul|Erykah Badu Featuring Rahzel
You Are Everything|The Stylistics
Rock & Roll Stew...Part 1|Traffic
Keep Your Hands In Your Pockets|The Playmates
Only For Love|Limahl
Black Land Farmer|Wink Martindale
Cry|Ronnie Dove
Seven Lonely Nights|Four Tops
Doctor Feel-Good|Dr. Feelgood And The Interns
I Apologize|Timi Yuro
Sex Machine (Part I)|James Brown
Baby  Don't You Cry (The New Swingova Rhythm)|Ray Charles and his Orchestra
Let Me Down Easy|Cornelius Brothers & Sister Rose
Who's Making Love|Young-Holt Unlimited
Record Hop Blues|The Quarter Notes
Maria|Blondie
What Am I Gonna Do With You|Barry White
Moonlight On Water|Laura Branigan
Gotta Travel On|Timi Yuro
My Babe|Roy Head And The Traits
I Knew You When|Billy Joe Royal
Kids Say The Darndest Things|Tammy Wynette
Moonlighting (Theme)|Al Jarreau
(It's Just) The Way That You Love Me|Paula Abdul
Have A Little Faith|David Houston
Frankie's Man  Johnny|Johnny Cash
The Cover Of Rolling Stone|Dr. Hook And The Medicine Show
We're Ready|Boston
I Love How You Love Me|Bobby Vinton
London Town|Wings
Dream Lover|The Paris Sisters
Ain't It The Truth|Mary Wells
Little Boy (In Grown Up Clothes)|The 4 Seasons
Itty Bitty Pieces|James Ray
Banapple Gas|Cat Stevens
Temptations|2Pac
Funny How Love Can Be|First Class
Can't Keep A Good Man Down|Eddie Money
Give Me An Inch|Ian Matthews
If I Say|Kingofthehill
Give It To Me|The Mob
Oooh  Baby Baby|The Five Stairsteps
If I Ruled The World|Tony Bennett
The Message|Sofia Shinas
Beautiful People|Kenny O'Dell
Lady Madonna|Fats Domino
The World Outside|The Four Coins
Spring Rain|Pat Boone
Hey Little One|Dorsey Burnette
Ain't It A Sad Thing|R. Dean Taylor
Hot Love|T. Rex
Whole Lotta Loving|Fats Domino
Leave My Kitten Alone|Little Willie John
L.A. Song|Beth Hart
Walls (From She's The One)|Tom Petty And The Heartbreakers
She Can't Find Her Keys|Paul Petersen
Beach Party|Dave York and The Beachcombers
Timothy|The Buoys
The Son Of Hickory Holler's Tramp|O.C. Smith
Pretend|Carl Mann
Toy Soldier|The 4 Seasons Featuring the Sound of Frankie Valli
Baby Don't You Weep|Garnet Mimms & The Enchanters
We're All Playing In The Same Band|Bert Sommer
Chattanooga Choo Choo|Ernie Fields & Orch.
Without You|Nilsson
One In A Million|The Romantics
She's A Bitch|Missy Misdemeanor Elliott
Cara  Mia|Jay & The Americans
Popeye Joe|Ernie K-Doe
Nothin' My Love Can't Fix|Joey Lawrence
Do Ya|The Move
Feed The Tree|Belly
Too Busy Thinking About My Baby|Marvin Gaye
Liquid Swords|Genius/GZA
Sold Me Down The River|The Alarm
Goin' Out Of My Head/Forget To Remember|Frank Sinatra
Distant Shores|Chad & Jeremy
Yeh-Yeh!|Mongo Santamaria Orch.
Spider Jiving|Andy Fairweather Low
Let Me Be|The Turtles
Touch|The Supremes
In The Midnight Hour|Wilson Pickett
Shake It Up Tonight|Cheryl Lynn
Night Time Is The Right Time|Rufus & Carla
Give It Up|The Goodmen
Blue Blue Day|Don Gibson
Somewhere In America|Survivor
I'm Your Baby Tonight|Whitney Houston
If You Can't Give Me Love|Suzi Quatro
Remember When|Wayne Newton
Trouble Man|Marvin Gaye
It's The Real Thing - Pt. I|The Electric Express
I'm The One|Gerry And The Pacemakers
Real Love|Slaughter
A Good Heart|Feargal Sharkey
You Don't Know Like I Know|Sam & Dave
(You Got To Walk And) Don't Look Back|Peter Tosh with Mick Jagger
More And More|Carly Simon
Kokomo (FromCocktail )|The Beach Boys
Watch Your Step|Brooks O'Dell
Only Love (The Ballad Of Sleeping Beauty)|Sophie B. Hawkins
Still No. 2|Ben Colder
Here's A Heart|The Diplomats
The Sidewinder  Part 1|Lee Morgan
You Know What I Mean|The Turtles
Sweet Merilee|Donnie Iris
Kansas City|James Brown And The Famous Flames
Don't Let The Sun Go Down On Me|George Michael/Elton John
Happy Days|Marv Johnson
Over And Over|The Dave Clark Five
Think|Vicki Anderson & James Brown
The Very Last Time|Utopia
Pop A Top|Alan Jackson
A Lover's Question|Ernestine Anderson
Your Baby's Gone Surfin'|Duane Eddy
I Do|The Marvelows
Monday  Monday|The Mamas & The Papas
That Greasy Kid Stuff|Janie Grant
Hully Gully Guitar|Jerry Reed And The Hully Girlies
Mr. Natural|Bee Gees
What I Am|Edie Brickell & New Bohemians
The Good Lord Loves You|Neil Diamond
Highwire|The Rolling Stones
Hotel Happiness|Brook Benton
Promises  Promises|Dionne Warwick
I'll Walk The Line|Don Costa And His Orchestra And Chorus
The Valley Road|Bruce Hornsby & The Range
Till Death Do Us Part|Bob Braun
For Once In My Life|Jackie Wilson
Earth Angel|Johnny Tillotson
It's Cold Outside|The Choir
Electric Stories|The 4 Seasons Featuring the Sound of Frankie Valli
Because Of You|The Cover Girls
From A Window|Chad & Jeremy
My Love Is The Shhh!|Somethin' For The People Featuring Trina & Tamara
Don't Change On Me|Ray Charles
Dear Ann|George Baker Selection
It's Magic|The Platters
The Long And Winding Road/For You Blue|The Beatles
Freak-A-Ristic|Atlantic Starr
Mission-Impossible|Lalo Schifrin
Lovin' You|Bobby Darin
Back To The 60's|Tight Fit
I'll Bring It Home To You|Carla Thomas
You Know How We Do It|Ice Cube
Dance By The Light Of The Moon|The Olympics
Back To The Island|Leon Russell
I'm Dreamin' (From New Jack City)|Christopher Williams
The Lights Of Tucson|Jim Campbell
In The Driver's Seat|John Schneider
When The Morning Comes|Hoyt Axton
I'm Your Man|Barry Manilow
Funny Feeling|The Delfonics
Down The Hall|The 4 Seasons
Nite Owl|Dukays
If It's The Last Thing I Do|Thelma Houston
Our House|Crosby  Stills  Nash & Young
Angeline Is Coming Home|The Badlees
Guns  Guns  Guns|The Guess Who
The Arms Of Orion|Prince With Sheena Easton
Blue Sky Mine|Midnight Oil
Easy To Be Hard|Cheryl Barnes/Hair Soundtrack
Under The Boardwalk|Billy Joe Royal
Every Beat Of My Heart|Pips
She's Tight|Cheap Trick
Soup For One|Chic
Montage From How Sweet It Is (I Know That You Know)|The Love Generation
Running Scared|The Fools
Freak Me|Silk
American Boys|Petula Clark
My Girl/Hey Girl|Bobby Vee
You're My Driving Wheel|The Supremes
Tonight's The Night|Solomon Burke
Alone|The 4 Seasons
Voice Of Freedom|Freedom Williams
Player's Anthem|Junior M.A.F.I.A.
How Can I Forget|Ben E. King
You've Got My Mind Messed Up|James Carr
Shock|The Motels
Take It Slow (Out In The Country)|Lighthouse
House Of Pain|Faster Pussycat
Land Of 1000 Dances|Chris Kenner
Master & Servant/(Set Me Free) Remotivate Me|Depeche Mode
There's No Easy Way|James Ingram
Late At Night|England Dan Seals
My True Confession|Brook Benton
Soul Meeting|The Soul Clan
Vaya Con Dios|Dawn Featuring Tony Orlando
Love Power|The Sandpebbles
California Earthquake|Norman Greenbaum
Willie And The Hand Jive|Eric Clapton
Hook|Blues Traveler
Scarlett O'Hara|Lawrence Welk And His Orchestra
Funny (How Time Slips Away)|Joe Hinton
Don't Go Near The Eskimos|Ben Colder
Louisianna|Mike Kennedy
U.S. Male|Elvis Presley With The Jordanaires
Let's Be Lovers Again|Eddie Money (with Valerie Carter)
Don't Mention My Name|The Shepherd Sisters
Only You|Tami Davis
Climb Every Mountain|The Hesitations
Tall Cool One|Robert Plant
Don't Cry  Baby|Etta James
The Charanga|Merv Griffin
The Loneliest Night|Dale & Grace
Unfaithfully Yours (Our Love)|Stephen Bishop
(Sittin' On) The Dock Of The Bay|Sergio Mendes & Brasil '66
I'm Goin' Down|Bruce Springsteen
Drip Drop|The Drifters
Carry Me|David Crosby/Graham Nash
Go Now!|The Moody Blues
Rough Lover|Aretha Franklin
I'm On Fire|Jerry Lee Lewis
Love Makes The World Go Round|Odds & Ends
Serenade|Shades
Wanna Be Startin' Somethin'|Michael Jackson
No Big Deal|Love And Rockets
Harper Valley P.T.A.|King Curtis & The Kingpins
Goldfinger|Shirley Bassey
My Love|Petula Clark
You're Good For Me|Solomon Burke
Do You Want It Right Now|Degrees Of Motion
Raw-Hide|Link Wray And The Wraymen
Emotion|Helen Reddy
Help Me Make It Through The Night|Sammi Smith
Rainy Day People|Gordon Lightfoot
I've Got News For You|Ray Charles
I Predict|Sparks
Give Ireland Back To The Irish|Wings
Holiday|Nazareth
Hold Me|The Baskerville Hounds
Don't Break My Heart|Romeo's Daughter
I Want It All|Warren G Featuring Mack 10
(How To Be A) Millionaire|ABC
The Clock|Baby Washington
Country Wine|The Raiders
Thunder In My Heart|Leo Sayer
A Year Ago Tonight|The Crests
(I'm A) YoYo Man|Rick Cunha
Cinderella Rockefella|Esther & Abi Ofarim
Missing You|Tina Turner
Tonight My Love  Tonight|Paul Anka
(You Can't Let The Boy Overpower) The Man In You|The Miracles
Daniel|Elton John
Kansas City Star|Roger Miller
(Baby) Turn On To Me|The Impressions
I'm Girl Scoutin'|The Intruders
All My Trials|Ray Stevens
My Uncle Used To Love Me But She Died|Roger Miller
Here Come Those Tears Again|Jackson Browne
If I Had The Chance|Cynthia
Burnin' Sky|Bad Company
I'll Sleep When I'm Dead|Bon Jovi
Speak Softly Love|Al Martino
Second Fiddle Girl|Barbara Lynn
I Still Believe In Tomorrow|John & Anne Ryder
Poor Little Puppet|Cathy Carroll
Tom's Diner|DNA Featuring Suzanne Vega
Kiss You All Over|No Mercy
Stop Takin' Me For Granted|Mary Wells
Everything's Been Changed|The 5th Dimension
All Night Long|Faith Evans Featuring Puff Daddy
Year Of The Cat|Al Stewart
I Know|Perry Como
I Knew The Bride (When She Use To Rock And Roll)|Nick Lowe And His Cowboy Outfit
Co-Co|The Sweet
Settle Down (Goin' Down That Highway)|Peter  Paul & Mary
The Truth|Tami Show
Here We Go Again|Aretha Franklin
Cuando Calienta El Sol (When The Sun Is Hot)|Steve Allen and His Orchestra with The Copacabana Trio
I Want To Talk About You|Ray Charles
Whatever It Takes (To Make You Stay)|Troop
Got To Love Somebody|Sister Sledge
I Hate Hate|Razzy
Stranger|Stephen Stills
The Same Love That Made Me Laugh|Bill Withers
Sometimes I Rhyme Slow|Nice & Smooth
Springtime Mama|Henry Gross
Here Come The Judge|The Magistrates
Bad Girl|The Miracles
No One For Me To Turn To|Spiral Starecase
Pass Me By|Peggy Lee
It's All About You (Not About Me)|Tracie Spencer
I Want You|Marvin Gaye
853-5937|Squeeze
Since You've Been Gone|Cherie & Marie Currie
Jennie Lee|Jan & Arnie
The White Rose Of Athens|David Carroll And His Orchestra
I See The Light|The Five Americans
Rainbow At Midnight|Jimmie Rodgers
San-Ho-Zay|Freddy King
I Can See Clearly Now (From Cool Runnings)|Jimmy Cliff
Your Good Thing (Is About To End)|Mable John
A Dream Goes On Forever|Todd Rundgren
Any Time  Any Place/And On And On|Janet Jackson
Girl U For Me/Lose Control|Silk
All Right Now|Lea Roberts
Sherry|The Keane Brothers
Sinner Man|Trini Lopez
I Wonder (If Your Love Will Ever Belong To Me)|The Pentagons
Skybird|Neil Diamond
Do What You Do|Jermaine Jackson
Te-Ta-Te-Ta-Ta|Ernie K-Doe
Be My Baby Tonight|John Michael Montgomery
Sugar Sugar/Cole  Cooke & Redding|Wilson Pickett
What A Wonderful World|Louis Armstrong
Fall In Love Again|Eddie Money
Can You Read My Mind|Maureen McGovern
Costafine Town|Splinter
Times Have Changed|Irma Thomas
Don't Make The Good Girls Go Bad|Della Humphrey
(The Lament Of The Cherokee) Indian Reservation|Don Fardon
Ski King|E.C. Beatty
Just A Little|The Beau Brummels
Trouble Down Here Below|Lou Rawls
Gypsy Road|Cinderella
Slaughter|Billy Preston
Reconsider Me|Narvel Felts
The Cowboy And The Lady|John Denver
When I Looked At Him|Expose
A Life Of Illusion|Joe Walsh
Superman|Celi Bee & The Buzzy Bunch
I Can't Leave Your Love Alone|Clarence Carter
Don't Break The Heart That Loves You|Connie Francis
All I Want|Howard Jones
Night Pulse|Double Image
Silly Milly|Blue Swede
The Way You Do The Things You Do/My Girl|Daryl Hall John Oates
Drag My Bad Name Down|The 4 Of Us
Each Word's A Beat Of My Heart|Mink De Ville
Been Around The World|Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase)
Never Comes The Day|The Moody Blues
Am I Grooving You|Freddie Scott
Fool's Paradise|The Sylvers
Going To A Go-Go|The Rolling Stones
Little Things|Bobby Goldsboro
Voice Of Freedom|Jim Kirk And The Tm Singers
Keep Your Head To The Sky|Earth  Wind & Fire
Hoopa Hoola|Betty Johnson
I'll Never Fall In Love Again|Dionne Warwick
I'm Movin' On|John Kay
Somewhere In Your Heart|Frank Sinatra
I Believe|The Sounds Of Blackness
Lover Come Back To Me|Dead Or Alive
I Should Cheat On You|J'Son
He's My Guy|Irma Thomas
Fly Away|Blackfoot
Mother Nature's Wine|Sugarloaf
Passion|K5
Someone You Used To Know|Collin Raye
Can't Wait Another Minute|Five Star
Sherry Don't Go|The Lettermen
Sunshine|Jonathan Edwards
Come To The Sunshine|Harpers Bizarre
Wild Honey|The Beach Boys
Outside Woman|Bloodstone
Under The Moon Of Love|Curtis Lee
Everybody's Out Of Town|B.J. Thomas
All I Want Is You|U2
Who Gets The Guy|Dionne Warwick
Congratulations|Cliff Richard
The Jungle|B.B. King
I'm Still In Love With You|Al Green
The Guitar Man|Bread
Charlena|The Sevilles
Play The Thing|Marlowe Morris Quintet
Flirtin' With Disaster|Molly Hatchet
Dear Eloise|The Hollies
Primrose Lane|O.C. Smith
Jesus Was A Capricorn|Kris Kristofferson
Love Has Finally Come At Last|Bobby Womack & Patti LaBelle
He's The Greatest Dancer|Sister Sledge
Laudy Miss Claudy|The Buckinghams
Respect Yourself|Bruce Willis
Johnny Freedom|Johnny Horton
I'll Still Love You|Jim Weatherly
We Can Get Down|Myron
Get It Together (Part 1)|James Brown And The Famous Flames
A Little Is Enough|Pete Townshend
Goody Goody Gumdrops|1910 Fruitgum Co.
Who Is He And What Is He To You|Creative Source
Then Came You|T.P.E.
Really Wanna Know You|Gary Wright
I Can't Let Go|The Hollies
Imaginary Lover|Atlanta Rhythm Section
Mr. Pleasant|The Kinks
Jealous Guy|John Lennon & The Plastic Ono Band
On Broadway|George Benson
I Believe In You|Don Williams
Let 'em In|Wings
Keep On Trying|Bobby Vee
Model Girl|Johnny Maestro
Feelin' Alright|Grand Funk Railroad
Brownsville|Joy Of Cooking
Tell It On The Mountain|Peter  Paul & Mary
Floatin' On Your Love|The Isley Brothers Featuring Angela Winbush
Goodnight My Love|Ben E. King
Hooch|Everything
Make Me Twice The Man|New York City
Don't Walk Away|Jade
Do You Love What You Feel|Rufus And Chaka Khan
Don't Come Knockin'|Fats Domino
Forget Me Not|Martha Reeves & The Vandellas
Head Over Heels|Tears For Fears
Broken Land|The Adventures
How's It Going To Be|Third Eye Blind
That's What Love Can Do|Boy Krazy
The Teaser|Bob Kuban And The In-Men
Love To Love You Baby|Donna Summer
I Heard It Through The Grapevine (Part 1)|Roger
CooCoo-U|The Kingston Trio
(Today I Met) The Boy I'm Gonna Marry|Darlene Love
Too Much Love To Hide|Crosby  Stills & Nash
Iesha|Another Bad Creation
They Can't Take Away Our Music|Eric Burdon And War
Blue Guitar|Justin Hayward & John Lodge
You Are Forever|Smokey Robinson
Neighbor  Neighbor|Jimmy Hughes
You're My Everything|Lee Garrett
Theme from Tunes Of Glory|The Cambridge Strings And Singers
When The Party Is Over|Robert John
Surfer Street|The Allisons
Little Bird|Annie Lennox
Love Is What You Make It|The Grass Roots
Evil Woman Don't Play Your Games With Me|CROW
Where Do You Go To (My Lovely)|Peter Sarstedt
I've Been Hurt|Bill Deal & The Rhondels
Dancin' With My Mirror|Corey Hart
Let Me Be The One|Peaches & Herb
Steppin' Out (Gonna Boogie Tonight)|Tony Orlando & Dawn
If You Know What I Mean|Neil Diamond
Only The Young|Journey
Back Door Man|Derek
Long Way To Love|Britny Fox
Nothing But A Breeze|Jesse Winchester
You're A Part Of Me|Susan Jacks
I'm A Happy Man|The Jive Five
Skin Trade|Duran Duran
I Need You Now|Ronnie Dove
Escalator Of Life|Robert Hazard
Hard Times For Lovers|Judy Collins
Old Shep|Ralph DeMarco
Give Him A Great Big Kiss|The Shangri-Las
High Energy|Evelyn Thomas
Emotion In Motion|Ric Ocasek
Drummin' Up A Storm|Sandy Nelson
Across The River|Bruce Hornsby & The Range
Queen Of The Roller Derby|Leon Russell
Beautician Blues|B.B. King
Rest In Peace|Extreme
Attack|The Toys
Every Little Step|Bobby Brown
Tonight  I Celebrate My Love|Peabo Bryson/Roberta Flack
You  Me And Mexico|Edward Bear
I Can't Say Goodbye|The Fireflies Featuring Ritchie Adams
Will You Still Love Me Tomorrow|Roberta Flack
Candy Apple Red|Bonnie Guitar
I Want To Be Wanted|Brenda Lee
Girl On TV|LFO
It's All Over Now|The Valentinos
Fernando|ABBA
Happiness Is Me And You|Gilbert O'Sullivan
Just Call Me (And I'll Understand)|Lloyd Price and His Orchestra
More Than Ever|Nelson
Better Things|The Kinks
Wishing Well|Terence Trent D'Arby
Murder She Wrote|Chaka Demus & Pliers
Once A Fool|Kiki Dee
Baby Make It Soon|The Flying Machine
Only Love Can Break A Heart|Margaret Whiting
Run To Paradise|Choirboys
This Is It|Jim Reeves
I Can't Give You Anything But Love|Bert Kaempfert And His Orchestra
Sex Shooter|Apollonia 6
Love That Really Counts|Natural Four
Blah  Blah  Blah|Nicola Paone
On And On|Stephen Bishop
The Way That You Love|Vanessa Williams
Say Wonderful Things|Ronnie Carroll
You're Gonna Miss Me|Connie Francis
I Wanna Be There|Blessid Union Of Souls
At The Beginning|Richard Marx & Donna Lewis
Funny Girl|Barbra Streisand
Don't Let Love Hang You Up|Jerry Butler
Shout! - Part 1|Chambers Brothers
Georgia Rose|Tony Bennett
Save The Night For Me|Maureen Steele
The Matador|Johnny Cash
Hurt|Little Anthony And The Imperials
Never My Love|Addrisi Brothers
Come Back|Londonbeat
Baby Come Back|Billy Rankin
Any Love|Luther Vandross
Bad Brakes|Cat Stevens
Dunkie Butt (Please Please Please)|12 Gauge
Who Are You|B.B. King
Take Good Care Of Her|Mel Carter
Save Me|Donna McDaniel
Lonely Drifter|The O'Jays
Getaway|Earth  Wind & Fire
My Maria|B.W. Stevenson
If It Don't Fit  Don't Force It|Kellee Patterson
Louisiana Man|Bobbie Gentry
Hello Jim|Paul Anka
I See You|Cathy & Joe
Everglades|The Kingston Trio
The Wayward Wind|Gogi Grant
Missing You|Steve Perry
Save Me|Dave Mason
Pow Wow|Cory Daye
Move This|Technotronic Featuring Ya Kid K
Portrait Of My Love|The Tokens
Cover Me|Percy Sledge
I Just Can't Say No To You|Parker McGee
You've Made Me So Very Happy|Lou Rawls
Groovy Baby|Billy Abbott And The Jewels
I Need Love|Barbara Mason
Bring Back The Love Of Yesterday|The Dells
Youth Gone Wild|Skid Row
Tell Mama|Savoy Brown
Rockaway Beach|Ramones
Only When You Leave|Spandau Ballet
Into You|Giant Steps
You Were Made For Me|Luther Ingram
Lay Lady Lay|Bob Dylan
I Wanna Meet You|The Cryan' Shames
Love Train|Holly Johnson
Tell Me Mamma|Christine Quaite
No Good To Cry|The Wildweeds
Oh  How I Miss You Tonight|Jeanne Black
Please  Daddy|John Denver
When A Boy Falls In Love|Sam Cooke
(You Don't Have To) Paint Me A Picture|Gary Lewis And The Playboys
It Happened Today|The Skyliners
9 999 999 Tears|Dickey Lee
My Guy|Petula Clark
I'm Into Lookin' For Someone To Love Me|Bobby Vee
Whole Lotta Shakin' Goin' On|Chubby Checker
Igmoo (The Pride Of South Central High)|Stonewall Jackson
Gimme Your Money Please|Bachman-Turner Overdrive
Memphis|Joe Jackson
Tar And Cement|Verdelle Smith
Point Of No Return|Nu Shooz
Sweet Sweet Baby(I'm Falling)|Lone Justice
Linda|Adam Wade
The Wedding Song (There Is Love)|Mary Macgregor
To Know Him  Is To Love Him|The Teddy Bears
(How Bout A Little Hand For) The Boys In The Band|The Boys In The Band
The Hearts Filthy Lesson|David Bowie
Mercy  Mercy  Mercy|The Buckinghams
The Search|Dean Reed
I'll Make It Alright|The Valentinos (The Lovers)
In The Mood|Henhouse Five Plus Too
Better To Give Than Receive|Joe Hinton
All Alone On Christmas (From Home Alone 2)|Darlene Love
Walk On By|Sybil
Remember (Walkin' in the Sand)|The Shangri-Las
What A Man  My Man Is|Lynn Anderson
All I Know Is The Way I Feel|The Pointer Sisters
Brother Louie|Stories
Eve Of Destruction|The Turtles
Where Do I Go|Carla Thomas
A Little Dog Cried|Jimmie Rodgers
Find 'Em  Fool 'Em & Forget 'Em|Dobie Gray
My Girl|Donnie Iris
Baby's Gone|Gene Thomas
Blessed Is The Rain|The Brooklyn Bridge Featuring Johnny Maestro
Somethin' 'bout 'cha|Latimore
One Way Love|Bandit
(A Ship Will Come) Ein Schiff Wird Kommen|Lale Anderson
Forget It|The Sandpebbles
Kansas City|Trini Lopez
Secret Love|Richard Groove Holmes
Give It Up|Wilson Phillips
The Mummers' Dance|Loreena McKennitt
Harry Hippie|Bobby Womack & Peace
A Fool Such As I|Bob Dylan
Michelle|Bud Shank
(Ghost) Riders In The Sky|Outlaws
Brilliant Disguise|Bruce Springsteen
A Little Bit Now (A Little Bit Later)|The Majors
The Hunter Gets Captured By The Game|The Marvelettes
Lonely School Year|The Hudson Brothers
Karen|B.E. Taylor Group
Deck The Halls|SHeDAISY
You Gonna Make Me Love Somebody Else|The Jones Girls
Lazy River|Bobby Darin
Never Gonna Let You Go|Faith Evans
On The Beach|Frank Chacksfield And His Orch.
Deadbeat Club|The B-52s
I've Got The Skill|Jackie Ross
Let Me Go|The Rings
Centerfield|John Fogerty
All Grown Up|The Crystals
I Don't Wanna Go On With You Like That|Elton John
Yogi|The Ivy Three
Raise A Little Hell|Trooper
Dreaming|Blondie
Where Do You Come From|Elvis Presley With The Jordanaires
Walk In The Sun|Bruce Hornsby
In My Bed|Dru Hill
Everyone's Gone To The Moon|Jonathan King
Where Evil Grows|The Poppy Family
Theme From A Summer Place|The Ventures
She's Just My Style|Gary Lewis And The Playboys
Rings|Cymarron
Love Explosion|Troy Keyes
The Ol' Race Track|The Mills Brothers
Ballad Of A Girl And Boy|Graduates
Baby Love|Regina
Trouble I've Had|Clarence Ashe
Shambala|Three Dog Night
Smile|Scarface Featuring 2Pac & Johnny P
Don't Sign The Paper Baby (I Want You Back)|Jimmy Delphs
Goldfinger|Jack Laforge His Piano and Orchestra
Rag Doll|Aerosmith
Twist It Up|Chubby Checker
Listen Me Tic (Woyoi)|Ini Kamoze
Queen Of My Heart|Rene And Ray
Anything You Choose|Spanky And Our Gang
Crush|Dave Matthews Band
Shower Me With Your Love|Surface
